nohup: ignoring input
Using: A100-PCIE-40GB
Tuning sw_source_kernel<double, 0>
Using: A100-PCIE-40GB
Tuning sw_adding_kernel<double, 0>
Using: A100-PCIE-40GB
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=140, recompute_denom=0, time=1.838ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=4, loop_unroll_factor_nlay=140, recompute_denom=1, time=1.635ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=0, recompute_denom=0, time=2.304ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=0, recompute_denom=1, time=2.182ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=1, recompute_denom=0, time=1.975ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=1, recompute_denom=1, time=1.756ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=2, recompute_denom=0, time=2.586ms, registers=42
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=2, recompute_denom=1, time=2.286ms, registers=54
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=4, recompute_denom=0, time=2.303ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=4, recompute_denom=1, time=2.172ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=5, recompute_denom=0, time=2.194ms, registers=58
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=5, recompute_denom=1, time=2.221ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=7, recompute_denom=0, time=2.211ms, registers=60
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=7, recompute_denom=1, time=2.210ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=10, recompute_denom=0, time=2.161ms, registers=64
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=10, recompute_denom=1, time=2.244ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=14, recompute_denom=0, time=2.171ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=14, recompute_denom=1, time=2.273ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=20, recompute_denom=0, time=2.261ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=20, recompute_denom=1, time=2.103ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=28, recompute_denom=0, time=2.260ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=28, recompute_denom=1, time=2.182ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=35, recompute_denom=0, time=2.267ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=35, recompute_denom=1, time=2.182ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=70, recompute_denom=0, time=2.264ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=70, recompute_denom=1, time=2.176ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=140, recompute_denom=0, time=2.250ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=5, loop_unroll_factor_nlay=140, recompute_denom=1, time=2.166ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=0, recompute_denom=0, time=1.850ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=0, recompute_denom=1, time=1.637ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=1, recompute_denom=0, time=1.973ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=1, recompute_denom=1, time=1.745ms, registers=38
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=2, recompute_denom=0, time=1.943ms, registers=42
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=2, recompute_denom=1, time=1.677ms, registers=54
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=4, recompute_denom=0, time=1.851ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=4, recompute_denom=1, time=1.636ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=5, recompute_denom=0, time=2.354ms, registers=58
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=5, recompute_denom=1, time=1.656ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=7, recompute_denom=0, time=2.368ms, registers=60
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=7, recompute_denom=1, time=1.645ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=10, recompute_denom=0, time=2.333ms, registers=64
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=10, recompute_denom=1, time=2.305ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=14, recompute_denom=0, time=2.334ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=14, recompute_denom=1, time=1.670ms, registers=56
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=20, recompute_denom=0, time=1.836ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=20, recompute_denom=1, time=2.188ms, registers=62
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=28, recompute_denom=0, time=1.838ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=28, recompute_denom=1, time=1.643ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=35, recompute_denom=0, time=1.836ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=35, recompute_denom=1, time=1.644ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=70, recompute_denom=0, time=1.836ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=70, recompute_denom=1, time=1.641ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=140, recompute_denom=0, time=1.829ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=6, loop_unroll_factor_nlay=140, recompute_denom=1, time=1.631ms, registers=50
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=0, recompute_denom=0, time=2.317ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=0, recompute_denom=1, time=2.177ms, registers=53
RTE_RRTMGP_USE_CBOOL=1, block_size_x=16, block_size_y=7, loop_unroll_factor_nlay=1, recompute_denom=0, time=1.971ms, registers=38
